energy_low,energy_mid,energy_high,energy_total,spectral_centroid,spectral_spread,spectral_flatness,spectral_rolloff,window_number,window_center_time
498.63181299803824,1141.3974123615585,1932.3573842284623,3572.386609588059,3472.979401376556,2860.424594760391,0.42468104316482047,7392.20849609375,3,50.0
503.42064211031123,1034.4903245592336,601.8559778686301,2139.766944538175,1766.1425992726479,1883.1261307546963,0.26080966806972355,3827.93359375,1,10.0
501.9468680862064,1053.5266783785557,658.1127470721061,2213.586293536868,1870.8079346872378,2016.4388361503188,0.2855126340955073,4189.24365234375,2,30.0
505.0906269240406,1108.2986114861615,693.8199868298352,2307.209225240037,1931.3862086525949,2089.721300789136,0.3019989974828079,4345.48583984375,3,50.0
495.40658087708937,1081.3059516213245,885.0723691972939,2461.7849016957075,2314.8818573580525,2435.4258942111906,0.32284173800339716,5370.8251953125,1,10.0
503.5106610087356,1074.5354989969837,938.9064856725983,2516.9526456783174,2451.5778082644374,2553.1200417713935,0.3224029832898016,6269.2177734375,2,30.0
504.2114389735768,1057.5400406392198,987.8144143744889,2549.5658939872856,2549.560049989286,2615.5730658995944,0.32558410394892484,6962.54248046875,3,50.0
491.9779096265342,1108.9833337189539,898.3318018120854,2499.2930451575735,2354.7139350775838,2466.1604101733487,0.3134457715391157,5624.71875,1,10.0
506.0871544233983,1177.6222751545229,1333.5483849468487,3017.2578145247694,2956.0860089182215,2802.333940863482,0.36329704408739083,7343.3828125,2,30.0
556.7843689395762,1628.243210387423,1237.4509177857358,3422.478497112735,2091.190310540757,1997.0223131386983,0.34235060607722506,4452.90234375,3,50.0
1729.6363456910185,60.92068981899838,0.0,1790.557035510017,291.25199946547013,129.25562192788166,0.5620902541786643,436.7451171875,1,10.0
1746.7016482839965,60.4551300959582,0.0,1807.1567783799546,292.18832917566186,129.31755489616776,0.570858828865726,437.33056640625,2,30.0
1737.163130163778,60.76903596571756,0.0,1797.9321661294957,291.5078725799089,129.7954324498175,0.577521457152872,437.916015625,3,50.0
1691.2800288288033,51.195737867662594,0.0,1742.4757666964658,286.0116315211252,128.57685282261642,0.5446492260214506,432.0615234375,1,10.0
1705.0720804618845,53.814551483441925,0.0,1758.8866319453266,288.2874520933245,127.42781192990847,0.5534573578981625,430.30517578125,2,30.0
1486.3603330270678,48.038043746681794,0.0,1534.3983767737495,286.8047521855426,131.96633762511726,0.5745792317507532,438.50146484375,3,50.0
1667.8157255395108,51.67938086325371,0.0,1719.4951064027646,286.1857342934961,127.97914692252489,0.5496235741065292,430.890625,1,10.0
1685.7901187105822,55.44548434838751,0.0,1741.2356030589694,287.47069945572673,127.29022066120022,0.5575321869384033,429.7197265625,2,30.0
1722.4402361907848,55.86633216304488,0.0,1778.3065683538298,288.9703046375171,127.70969983003022,0.5520745229705601,432.0615234375,3,50.0
1711.185098229309,54.90919640502982,0.0,1766.094294634339,289.3594642148398,128.0232762080263,0.5488410634383145,433.232421875,1,10.0
1720.3938971901414,53.770313927531745,0.0,1774.164211117673,289.0997707340376,127.5727869023897,0.5556935499558939,430.890625,2,30.0
1735.3801156451077,54.174290728651485,0.0,1789.5544063737593,289.35415782748913,127.33698493213396,0.5629300842125493,430.30517578125,3,50.0
1640.1614490697523,51.02316529986069,0.0,1691.184614369613,286.809060266714,128.78334006346452,0.5556364548237189,432.64697265625,1,10.0
1650.9208379400075,51.079189479787566,0.0,1702.000027419795,288.33785880059975,128.5910467092532,0.5498778241626819,436.7451171875,2,30.0
1656.243831906997,49.95253502132806,0.0,1706.1963669283252,288.79578353243346,128.787723008214,0.5395113258929699,439.0869140625,3,50.0
1636.4163164633126,49.67984980053694,0.0,1686.0961662638497,288.2059723121497,128.46809190100282,0.5476245557861187,437.33056640625,1,10.0
1622.7135324314745,50.56650493181218,0.0,1673.2800373632867,287.6113877897638,128.81892362159633,0.5528375113805033,436.15966796875,2,30.0
1648.1953703880808,48.83808527842932,0.0,1697.03345566651,288.48262338217995,128.27789096896322,0.552364367711209,436.15966796875,3,50.0
1644.7101521088314,55.86329779327479,0.0,1700.573449902106,288.9451969051841,129.18391304116602,0.5441641476066872,436.7451171875,1,10.0
1672.3901403375105,54.60354840632907,0.0,1726.9936887438396,288.1063600247491,127.66781767734251,0.542964661206596,430.890625,2,30.0
1685.7636677330906,56.65080847591014,0.0,1742.414476209001,289.99239856669965,127.724192674382,0.5418108827287776,433.81787109375,3,50.0
